country,stype,sname,class,year_from,theatre,tags,initialCost
Canada,Frigate,HMCS Yukon DDG263,Mackenzie,1963,Atlantic,TA,8
Canada,Destroyer,HMCS Iroquois DDG280,Iroquois,1972,Atlantic,Helicopter CH-124 | TA,12
Australia,Destroyer,HMAS Perth D38,Perth,1965,Pacific,,12
Australia,Frigate,HMAS Adelaide FFG01,Adelaide,1980,Pacific,SH-60,10
Australia,Frigate,HMAS Torrens DE53,River,1971,Pacific,,8
Australia,Frigate,HMAS Canberra FFG02,Adelaide,1981,Pacific,SH-60,10
Australia,Destroyer,HMAS Brisbane D41,Perth,1967,Pacific,,12
Spain,Frigate,Santa Maria F81,Santa Maria,1986,Atlantic,Helicopter S-70B | TA,10
Germany,Destroyer,Lutiens D-185,Lutiens,1969,Atlantic,,12
Germany,Frigate,Karlsruhe F212,Type 122,1984,Atlantic,Helicopter WG13,10
Germany,Frigate,Bremen F207,Type 122,1982,Atlantic,Helicopter WG13,10
Germany,Destroyer,Hamburg D181,Type 101A,1982,Atlantic,,12
Germany,Destroyer,Rommel D187,Lutjens,1970,Atlantic,,12
Japan,Submarine,JDS Mochishio SS574 SSK,Yuushio,1981,Pacific,Mine | TA,36
,Destroyer,Hatakaze DD171,Hatakaze,1986,Pacific,,14
,Frigate,Chitose DE220,Chikugo,1973,Pacific,,8
,Frigate,Yubari DE227,Yubari,1983,Pacific,,10
,Destroyer,Asagiri DD151,Asagiri,1988,Pacific,,12
